generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1788562608-kgiG9d5NhzwsLJYTlj4F,2026-09-04 22:56:47.996,0.002572,,-0.006836,,0,142352,869,256,139520,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,13227,1643,false,hermes-ppn,Hermes Agent
gen-1788562606-WEUXC8aNwS2SpoVpNqYr,2026-09-04 22:56:46.364,0.00226,,-0.006836,,0,139747,77,0,139520,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,1202,944,false,hermes-ppn,Hermes Agent
gen-1788562602-RPIa1l85WpukELowDAoa,2026-09-04 22:56:42.634,0.002671,,-0.006422,,0,139510,144,29,131072,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2200,1385,false,hermes-ppn,Hermes Agent
gen-1788562590-3eIJJB71mWoFJY7E1nhL,2026-09-04 22:56:30.748,0.009021,,,,0,138576,76,0,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,11471,11199,false,hermes-ppn,Hermes Agent
gen-1788562575-hiCIYThi5AYvuWCfBGmj,2026-09-04 22:56:15.774,0.129134,,-0.105422,,0,584366,450,348,292840,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,tool_calls,9407,8632,false,hermes-ppn,Hermes Agent
gen-1788526529-1bDiqTeuoEAFXtyyKQIu,2026-09-04 12:55:29.735,0.147269,,-0.090286,,0,582921,2438,660,291248,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,16890,16655,false,hermes-ppn,Hermes Agent
gen-1788526007-KXvh5dWSJXCSgfLlglV5,2026-09-04 12:46:47.090,0.010695,,,,0,161668,1042,0,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,12171,5791,false,hermes-ppn,Hermes Agent
gen-1788484216-T12NNOppTs9g4mTcl324,2026-09-04 01:10:15.993,0.252301,,0.01431,,0,574682,4510,1327,0,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,32674,32438,false,hermes-ppn,Hermes Agent
gen-1788483949-PIdUsHlneENFnFz0rG8w,2026-09-04 01:05:49.602,0.002695,,-0.00809,,0,165380,205,0,165120,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,3383,1141,false,hermes-ppn,Hermes Agent
gen-1788483945-jy8dHvzyLjbatXHdPRS6,2026-09-04 01:05:44.997,0.00276,,-0.00804,,0,164811,490,26,164096,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,4190,1052,false,hermes-ppn,Hermes Agent
